lead,t_s,v,v_units
aVF,2.4412615299224854,-0.024518171325325966,mV
aVF,2.448317289352417,-0.004938408732414246,mV
aVF,2.4553728103637695,0.016933994367718697,mV
aVF,2.462428569793701,0.03880639746785164,mV
aVF,2.469484329223633,0.05115403234958649,mV
aVF,2.4765398502349854,0.05362270027399063,mV
aVF,2.483595609664917,0.06085536256432533,mV
aVF,2.4906511306762695,0.07302643358707428,mV
aVF,2.497706890106201,0.05856218561530113,mV
V1,0.0,-0.014817379415035248,mV
V1,0.007055669091641903,-0.019403737038373947,mV
V1,0.014111338183283806,-0.009877894073724747,mV
V1,0.021167008206248283,-0.004939485341310501,mV
V1,0.02822267636656761,-0.004939485341310501,mV
V1,0.03527834638953209,0.002469204366207123,mV
V1,0.04233401641249657,0.007408151403069496,mV
V1,0.049389686435461044,0.009877894073724747,mV
V1,0.05644535273313522,-0.014640815556049347,mV
V1,0.0635010227560997,-0.05362377688288689,mV
V1,0.07055669277906418,-0.04639111086726189,mV
V1,0.07761236280202866,-0.03422003984451294,mV
V1,0.08466803282499313,-0.039158985018730164,mV
V1,0.09172370284795761,-0.048684291541576385,mV
V1,0.09877937287092209,-0.11712437123060226,mV
V1,0.10583503544330597,-0.22930924594402313,mV
V1,0.11289070546627045,-0.30745118856430054,mV
V1,0.11994637548923492,-0.5856207609176636,mV
V1,0.1270020455121994,-0.82480788230896,mV
V1,0.13405771553516388,-0.8833701014518738,mV
V1,0.14111338555812836,-0.8004662990570068,mV
V1,0.14816905558109283,-0.5125943422317505,mV
V1,0.1552247256040573,-0.3416712284088135,mV
V1,0.1622803956270218,-0.20990659296512604,mV
V1,0.16933606564998627,-0.10742303729057312,mV
V1,0.17639173567295074,-0.03422003984451294,mV
V1,0.18344740569591522,-0.007408689707517624,mV
V1,0.1905030757188797,0.029103988781571388,mV
V1,0.19755874574184418,0.043744806200265884,mV
V1,0.20461440086364746,0.0659697949886322,mV
V1,0.21167007088661194,0.09278114885091782,mV
V1,0.21872574090957642,0.09525088965892792,mV
V1,0.2257814109325409,0.10724540054798126,mV
V1,0.23283708095550537,0.13158753514289856,mV
V1,0.23989275097846985,0.1414654403924942,mV
V1,0.24694842100143433,0.16351494193077087,mV
V1,0.2540040910243988,0.19014972448349,mV
V1,0.2610597610473633,0.21237525343894958,mV
V1,0.26811543107032776,0.24871191382408142,mV
V1,0.27517110109329224,0.25118112564086914,mV
V1,0.2822267711162567,0.23424765467643738,mV
V1,0.2892824411392212,0.2171381711959839,mV
V1,0.29633811116218567,0.17568601667881012,mV
V1,0.30339378118515015,0.1464049220085144,mV
V1,0.3104494512081146,0.12453197687864304,mV
V1,0.3175051212310791,0.07796484231948853,mV
V1,0.3245607912540436,0.04621401056647301,mV
V1,0.33161646127700806,0.02928055450320244,mV
V1,0.33867213129997253,0.007408151403069496,mV
V1,0.345727801322937,-0.004939485341310501,mV
V1,0.3527834713459015,-0.014817379415035248,mV
V1,0.35983914136886597,-0.03915952518582344,mV
V1,0.36689481139183044,-0.03915952518582344,mV
V1,0.3739504814147949,-0.024342145770788193,mV
V1,0.3810061514377594,-0.03422003984451294,mV
V1,0.3880618214607239,-0.06844007968902588,mV
V1,0.39511749148368835,-0.1538141518831253,mV
V1,0.40217313170433044,-0.2243708372116089,mV
V1,0.4092288017272949,-0.44397875666618347,mV
V1,0.4162844717502594,-0.7027451395988464,mV
V1,0.4233401417732239,-0.7907644510269165,mV
V1,0.43039581179618835,-0.7761236429214478,mV
V1,0.43745148181915283,-0.5856207609176636,mV
V1,0.4445071518421173,-0.33673229813575745,mV
